Group Id,Question Group,Answer Group
1,"The taxi drivers are on strike again . What for ? Do you have any plans ?
The taxi drivers are on strike again . What for ? Do you think it leaves ?
The taxi drivers are on strike again . What for ? Yes , I like the style.Can I try this on ?
The taxi drivers are on strike again . What for ? Yes , I like the style.Can I have this on ?
The taxi drivers are on strike again . What for ? Yes , I like the style.Can I try the on ?","Yes . I have a bad traffic jam on my date .
Certainly , but ...
Sure .
Sure .
Sure ."
2,"Is the right counter to check in for this flight ? Yes , it is . Please put your luggage on this scale . It's a feature film .
Is the right counter to check in for this flight ? Yes , it is . Please put your luggage on this scale . OK , please .
Is the right counter to check in for this flight ? Yes , it is . Please put your luggage on this scale . Do you have anything to declare ?
Is the right counter to check in for this flight ? Yes , it is . Please put your luggage on this scale . Do you have a long-term plan for your career ?
Is the right counter to check in for this flight ? Yes , it is . Please put your luggage on this scale . Do you have a long-term plan to your career ?","OK .
Yes , sir .
Yes , it is .
Yes , I hope so .
Yes , I think so ."
3,"Where do you want to go ? I'm going to the hospital . Get in . I'll take you . About how much will it cost ? It will cost you $ 10 . By the way , what's the time ? Why ?
Where do you want to go ? I'm going to the hospital . Get in . I'll take you . About how much will it cost ? It will cost you $ 10 . By the way , what's the time ? Do you receive traveler's checks ?
Where do you want to go ? I'm going to the hospital . Get in . I'll take you . About how much will it cost ? It will cost you $ 10 . By the way , what's the time ? Why not ?
Where do you want to go ? I'm going to the hospital . Get in . I'll take you . About how much will it cost ? It will cost you $ 10 . By the way , what's the time ? Do you have any plans ?
Where do you want to go ? I'm going to the hospital . Get in . I'll take you . About how much will it cost ? It will cost you $ 10 . By the way , what's the time ? Do you think it leaves ?","About ten minutes .
Sorry , sir .
About About ten minutes .
About last year .
About it ."
4,"Take a seat inside and see what you think.So you will take the Porsche then , sir ? Yes , and I want to buy the insurance too . I think it's necessary . You're smart to buy it . At 45 dollars for three days , it is a good deal . Can I return the car in San Francisco ? San Francisco ? No , sir.We only have this office here . You will have to return it here . Really ? I heard in America you can return rental cars in different cities . No , sir . That's only with the very big companies . I'm sorry , but this car must be returned to this lot . Well , I guess I will have to drive back down then . Hmm . I didn't think of that . Do you still want the car , sir ? Yes . It will be fun . Driving back down the coast . My girlfriend will like it . Thank you .
Take a seat inside and see what you think.So you will take the Porsche then , sir ? Yes , and I want to buy the insurance too . I think it's necessary . You're smart to buy it . At 45 dollars for three days , it is a good deal . Can I return the car in San Francisco ? San Francisco ? No , sir.We only have this office here . You will have to return it here . Really ? I heard in America you can return rental cars in different cities . No , sir . That's only with the very big companies . I'm sorry , but this car must be returned to this lot . Well , I guess I will have to drive back down then . Hmm . I didn't think of that . Do you still want the car , sir ? Yes . It will be fun . Driving back down the coast . My girlfriend will like it . Thank you for your help .
Take a seat inside and see what you think.So you will take the Porsche then , sir ? Yes , and I want to buy the insurance too . I think it's necessary . You're smart to buy it . At 45 dollars for three days , it is a good deal . Can I return the car in San Francisco ? San Francisco ? No , sir.We only have this office here . You will have to return it here . Really ? I heard in America you can return rental cars in different cities . No , sir . That's only with the very big companies . I'm sorry , but this car must be returned to this lot . Well , I guess I will have to drive back down then . Hmm . I didn't think of that . Do you still want the car , sir ? Yes . It will be fun . Driving back down the coast . My girlfriend will like it . I am glad you are happy .
Take a seat inside and see what you think.So you will take the Porsche then , sir ? Yes , and I want to buy the insurance too . I think it's necessary . You're smart to buy it . At 45 dollars for three days , it is a good deal . Can I return the car in San Francisco ? San Francisco ? No , sir.We only have this office here . You will have to return it here . Really ? I heard in America you can return rental cars in different cities . No , sir . That's only with the very big companies . I'm sorry , but this car must be returned to this lot . Well , I guess I will have to drive back down then . Hmm . I didn't think of that . Do you still want the car , sir ? Yes . It will be fun . Driving back down the coast . My girlfriend will like it . I am glad you like it .
Take a seat inside and see what you think.So you will take the Porsche then , sir ? Yes , and I want to buy the insurance too . I think it's necessary . You're smart to buy it . At 45 dollars for three days , it is a good deal . Can I return the car in San Francisco ? San Francisco ? No , sir.We only have this office here . You will have to return it here . Really ? I heard in America you can return rental cars in different cities . No , sir . That's only with the very big companies . I'm sorry , but this car must be returned to this lot . Well , I guess I will have to drive back down then . Hmm . I didn't think of that . Do you still want the car , sir ? Yes . It will be fun . Driving back down the coast . My girlfriend will like it . Thank you for your help you .","You are welcome .
Thanks a lot .
Thank you very much .
Thank you for your time .
I hope to see you again ."
5,"Where are you going ? I'm going to buy a CD . Why not listen to music online ? Then I will have to pay quite a lot to listen to music on line , isn't it ? You can audition music on line , and you can audition it off line after downloading it , so you needn't pay for it . I have downloaded one , but it still can't be listened . In order to listen to music , you must have the necessary software . Can you recommend some to me ? Certainly . Realplayer is a good . Can I download it ? Thank you .
Where are you going ? I'm going to buy a CD . Why not listen to music online ? Then I will have to pay quite a lot to listen to music on line , isn't it ? You can audition music on line , and you can audition it off line after downloading it , so you needn't pay for it . I have downloaded one , but it still can't be listened . In order to listen to music , you must have the necessary software . Can you recommend some to me ? Certainly . Realplayer is a good . Can I download it ? Thank you for your help .
Where are you going ? I'm going to buy a CD . Why not listen to music online ? Then I will have to pay quite a lot to listen to music on line , isn't it ? You can audition music on line , and you can audition it off line after downloading it , so you needn't pay for it . I have downloaded one , but it still can't be listened . In order to listen to music , you must have the necessary software . Can you recommend some to me ? Certainly . Realplayer is a good . Can I download it ? I am glad you like it .
Where are you going ? I'm going to buy a CD . Why not listen to music online ? Then I will have to pay quite a lot to listen to music on line , isn't it ? You can audition music on line , and you can audition it off line after downloading it , so you needn't pay for it . I have downloaded one , but it still can't be listened . In order to listen to music , you must have the necessary software . Can you recommend some to me ? Certainly . Realplayer is a good . Can I download it ? Thank you for your help you .
Where are you going ? I'm going to buy a CD . Why not listen to music online ? Then I will have to pay quite a lot to listen to music on line , isn't it ? You can audition music on line , and you can audition it off line after downloading it , so you needn't pay for it . I have downloaded one , but it still can't be listened . In order to listen to music , you must have the necessary software . Can you recommend some to me ? Certainly . Realplayer is a good . Can I download it ? OK , I'll just check out .","You're welcome . Anything else ?
Sure , wait a moment .
Sure . Wait a moment .
Sure , wait a moment .
That is a pleasure to see you ."
6,"What can I show you ? Do you have this shirt in a small ? Yes .
What can I show you ? Do you have this shirt in a small ? Do you have any plans ?
What can I show you ? Do you have this shirt in a small ? Do you think it leaves ?
What can I show you ? Do you have this shirt in a small ? Yes , I like the style.Can I try this on ?
What can I show you ? Do you have this shirt in a small ? Yes , I like the style.Can I have this on ?","Yes , it looks interesting .
Yes , I have one .
Yes , they do .
OK , here you are .
Well , it looks fine . How many people are there in your party ?"
7,"Tom , is Jenny crying ? Can you take he away from me ? I ’ m just coming for that . She kept bothering me . Oh , I ’ m sorry .
Tom , is Jenny crying ? Can you take he away from me ? I ’ m just coming for that . She kept bothering me . Well , I ’ m doing okay . And how about yourself ?
Tom , is Jenny crying ? Can you take he away from me ? I ’ m just coming for that . She kept bothering me . I ’ m sorry . I didn ’ t know that .
Tom , is Jenny crying ? Can you take he away from me ? I ’ m just coming for that . She kept bothering me . Oh , I ’ m sorry . I didn ’ t know that .
Tom , is Jenny crying ? Can you take he away from me ? I ’ m just coming for that . She kept bothering me . Well , I ’ m doing okay . And how about yourself .","Leave me alone .
I feel so tired .
That ’ s all right . But I ’ m really sorry .
That ’ s all right . But I ’ m really sorry .
I ’ m glad that we ’ re going to be patient ."
8,"You get your bus pass ? I'm not going to buy one . You're not ? I think it's a waste of money . It actually costs less if you have a bus pass . How is that ? You can use it however many times you need to . Is that right ? Yup , and you can keep the money in your pocket . That sounds nice . Thank you .
You get your bus pass ? I'm not going to buy one . You're not ? I think it's a waste of money . It actually costs less if you have a bus pass . How is that ? You can use it however many times you need to . Is that right ? Yup , and you can keep the money in your pocket . That sounds nice . Thank you for your help .
You get your bus pass ? I'm not going to buy one . You're not ? I think it's a waste of money . It actually costs less if you have a bus pass . How is that ? You can use it however many times you need to . Is that right ? Yup , and you can keep the money in your pocket . That sounds nice . OK , I'll check .
You get your bus pass ? I'm not going to buy one . You're not ? I think it's a waste of money . It actually costs less if you have a bus pass . How is that ? You can use it however many times you need to . Is that right ? Yup , and you can keep the money in your pocket . That sounds nice . Thank you , please .
You get your bus pass ? I'm not going to buy one . You're not ? I think it's a waste of money . It actually costs less if you have a bus pass . How is that ? You can use it however many times you need to . Is that right ? Yup , and you can keep the money in your pocket . That sounds nice . Thank you . Would you like a window ?","You are welcome .
You are welcome .
Thank you . This way , please .
You are welcome !
No , what can I do for you ?"
9,"Is this a duty-free shop ? Yes , sir . What can I do for you ? I want to buy some specialties . Can you recommend me some ? Sure . I strongly advise you to buy a bottle of perfume and a lighter . What do you think of it ?
Is this a duty-free shop ? Yes , sir . What can I do for you ? I want to buy some specialties . Can you recommend me some ? Sure . I strongly advise you to buy a bottle of perfume and a lighter . Well , I want to surprise my brother showing up .
Is this a duty-free shop ? Yes , sir . What can I do for you ? I want to buy some specialties . Can you recommend me some ? Sure . I strongly advise you to buy a bottle of perfume and a lighter . Well , I want to surprise my brother showing up for his birthday .
Is this a duty-free shop ? Yes , sir . What can I do for you ? I want to buy some specialties . Can you recommend me some ? Sure . I strongly advise you to buy a bottle of perfume and a lighter . Well , I want to surprise my brother showing .
Is this a duty-free shop ? Yes , sir . What can I do for you ? I want to buy some specialties . Can you recommend me some ? Sure . I strongly advise you to buy a bottle of perfume and a lighter . Well , I ’ m doing okay . And how about yourself ?","Very smart ! I have a good pain at the moment .
Well , that is too much for you .
Well , that is too much for you .
Well , that would be too much for you .
Not so well , thank you ."
10,"Excuse me . What should be included in my CV ? Generally speaking , a CV or resume is made up of 6 parts , personal information , educational experience , practical experience , personal skills , self-evaluation and job intentions . Thank you very much .
Excuse me . What should be included in my CV ? Generally speaking , a CV or resume is made up of 6 parts , personal information , educational experience , practical experience , personal skills , self-evaluation and job intentions . Thank you very much indeed.You helped me rebuild my self-confidence .
Excuse me . What should be included in my CV ? Generally speaking , a CV or resume is made up of 6 parts , personal information , educational experience , practical experience , personal skills , self-evaluation and job intentions . No , I wouldn't worry . Thank you .
Excuse me . What should be included in my CV ? Generally speaking , a CV or resume is made up of 6 parts , personal information , educational experience , practical experience , personal skills , self-evaluation and job intentions . No , I wouldn't worry .
Excuse me . What should be included in my CV ? Generally speaking , a CV or resume is made up of 6 parts , personal information , educational experience , practical experience , personal skills , self-evaluation and job intentions . No , I wouldn't worry . Thank you !","You are welcome !
You are welcome .
You are welcome .
You can have me to go to the palace , too .
You're welcome !"
