Group Id,Question Group,Answer Group
0,"good morning . what's the matter with you ? good morning , doctor . i have a terrible headache . all right , young man . tell me how it got started . yesterday i had a runny nose . now my nose is stuffed up . i have a sore throat . and i ’ m afraid i've got a temperature . i feel terrible . don't worry , young man . lat me give you an examination . first let me take a look at your throat . open your mouth and say'ah ' . ah . your throat is inflamed . and your tongue is heavily coated . you have all the symptoms of influenza . what am i supposed to do then ? a good rest be all you necessitate , and toast more water . i'll write you a prescription .
good morning . what's the matter with you ? good morning , doctor . i have a terrible headache . all right , young man . tell me how it got started . yesterday i had a runny nose . now my nose is stuffed up . i have a sore throat . and i ’ m afraid i've got a temperature . i feel terrible . don't worry , young man . lat me give you an examination . first let me take a look at your throat . open your mouth and say'ah ' . ah . your throat is inflamed . and your tongue is heavily coated . you have all the symptoms of influenza . what am i supposed to do then ? a good remainder is all you need , and drink more body_of_water . i'll write you a prescription_drug .
good morning . what's the matter with you ? good morning , doctor . i have a terrible headache . all right , young man . tell me how it got started . yesterday i had a runny nose . now my nose is stuffed up . i have a sore throat . and i ’ m afraid i've got a temperature . i feel terrible . don't worry , young man . lat me give you an examination . first let me take a look at your throat . open your mouth and say'ah ' . ah . your throat is inflamed . and your tongue is heavily coated . you have all the symptoms of influenza . what am i supposed to do then ? a full rest is all you need , and drink more water . i'll write you a prescription .
good morning . what's the matter with you ? good morning , doctor . i have a terrible headache . all right , young man . tell me how it got started . yesterday i had a runny nose . now my nose is stuffed up . i have a sore throat . and i ’ m afraid i've got a temperature . i feel terrible . don't worry , young man . lat me give you an examination . first let me take a look at your throat . open your mouth and say'ah ' . ah . your throat is inflamed . and your tongue is heavily coated . you have all the symptoms of influenza . what am i supposed to do then ? a full remainder be all you necessitate , and toast more body_of_water . i'll write you a prescription_drug .
good morning . what's the matter with you ? good morning , doctor . i have a terrible headache . all right , young man . tell me how it got started . yesterday i had a runny nose . now my nose is stuffed up . i have a sore throat . and i ’ m afraid i've got a temperature . i feel terrible . don't worry , young man . lat me give you an examination . first let me take a look at your throat . open your mouth and say'ah ' . ah . your throat is inflamed . and your tongue is heavily coated . you have all the symptoms of influenza . what am i supposed to do then ? a good rest is all you need , and drink more water . i'll write you a prescription .","Does it start with you ?
Me , too .
It's too cold .
Have you got a sore throat , too ?
Okay , I'll go with you ."
1,"my dear , what's for supper ? red cooked carp and rape with fresh mushrooms . what about soup ? sour-peppery soup . which condiment do you use for ? i'll use ginger , garlic scallion , hot pepper and vinegar . very good , need i help you ? no , don't need , i can do myself . thanks . i can watch tv nowadays .
my dear , what's for supper ? red cooked carp and rape with fresh mushrooms . what about soup ? sour-peppery soup . which condiment do you use for ? i'll use ginger , garlic scallion , hot pepper and vinegar . very good , need i help you ? no , don't need , i can do myself . thanks . i can watch tv now .
my dear , what's for supper ? red cooked carp and rape with fresh mushrooms . what about soup ? sour-peppery soup . which condiment do you use for ? i'll use ginger , garlic scallion , hot pepper and vinegar . very good , need i help you ? no , don't need , i can do myself . thanks . i can determine tv now .
my dear , what's for supper ? red cooked carp and rape with fresh mushrooms . what about soup ? sour-peppery soup . which condiment do you use for ? i'll use ginger , garlic scallion , hot pepper and vinegar . very good , need i help you ? no , don't need , i can do myself . thanks . i can determine television nowadays .
my dear , what's for supper ? red cooked carp and rape with fresh mushrooms . what about soup ? sour-peppery soup . which condiment do you use for ? i'll use ginger , garlic scallion , hot pepper and vinegar . very good , need i help you ? no , don't need , i can do myself . thanks . i can watch television now .","And so . I don't know anything about it .
Is that so ?
Is it difficult to learn ?
Is that very nice ?
Is that so ?"
2,"hello , this is mike , kara . mike ! good to hear from you . how are you ? everything is fine , and how are you ? things are going well with me . kara , i had fun the other night at the movies and was wondering if you would like to go out again this friday . mike , i don't think that it's a good idea to go out again . i really need to focus on getting packed and ready to move back home . maybe we could just meet for coffee or something .
hello , this is mike , kara . mike ! good to hear from you . how are you ? everything is fine , and how are you ? things are going well with me . kara , i had fun the other night at the movies and was wondering if you would like to go out again this friday . mike , i don't think that it's a good idea to go out again . i really need to focus on getting packed and ready to move back home . possibly we could merely meet for coffee or something .
hello , this is mike , kara . mike ! good to hear from you . how are you ? everything is fine , and how are you ? things are going well with me . kara , i had fun the other night at the movies and was wondering if you would like to go out again this friday . mike , i don't think that it's a good idea to go out again . i really need to focus on getting packed and ready to move back home . maybe we could just converge for coffee or something .
hello , this is mike , kara . mike ! good to hear from you . how are you ? everything is fine , and how are you ? things are going well with me . kara , i had fun the other night at the movies and was wondering if you would like to go out again this friday . mike , i don't think that it's a good idea to go out again . i really need to focus on getting packed and ready to move back home . possibly we could merely converge for coffee_bean or something .
hello , this is mike , kara . mike ! good to hear from you . how are you ? everything is fine , and how are you ? things are going well with me . kara , i had fun the other night at the movies and was wondering if you would like to go out again this friday . mike , i don't think that it's a good idea to go out again . i really need to focus on getting packed and ready to move back home . maybe we could just meet for coffee_bean or something .","What does that mean ?
What is the departure date ?
What is the departure date today ?
how's that going to start with the company ?
how's that going to be easy ?"
3,"sun-set hotel . may i help you ? yes , i have booked a room for 24th . it's a double room . clasp on , please . permit me see it for you . yes , you're correct . you will continue it for 3 day .
sun-set hotel . may i help you ? yes , i have booked a room for 24th . it's a double room . clasp on , please . let me check it for you . yes , you're right . you will keep it for 3 day .
sun-set hotel . may i help you ? yes , i have booked a room for 24th . it's a double room . hold on , please . permit me see it for you . yes , you're right . you will continue it for 3 days .
sun-set hotel . may i help you ? yes , i have booked a room for 24th . it's a double room . hold on , please . let me check it for you . yes , you're correct . you will keep it for 3 days .
sun-set hotel . may i help you ? yes , i have booked a room for 24th . it's a double room . hold on , please . let me check it for you . yes , you're right . you will keep it for 3 days .","All right . All right , thank you .
Thank you for your change .
All right . All right , thank you .
Thank you for inviting me .
Thank you for inviting me ."
4,"i'm sorry i'm so late . i had a really bad day . it's ten after six.we ' re late.but dinner is at six thirty . i know . i know . i'm truly regretful . i lost my bag .
i'm sorry i'm so late . i had a really bad day . it's ten after six.we ' re late.but dinner is at six thirty . i know . i know . i'm really sorry . i lost my bag .
i'm sorry i'm so late . i had a really bad day . it's ten after six.we ' re late.but dinner is at six thirty . i know . i know . i'm really sorry . i lost my base .
i'm sorry i'm so late . i had a really bad day . it's ten after six.we ' re late.but dinner is at six thirty . i acknowledge . i acknowledge . i'm really sorry . i lose my bag .
i'm sorry i'm so late . i had a really bad day . it's ten after six.we ' re late.but dinner is at six thirty . i acknowledge . i acknowledge . i'm truly regretful . i lose my base .","Thank you .
Me , too .
Me , too .
You're kidding . Let's have to go .
Well , we can't have . Let's try some after-dinner wines ."
5,"could i have my bill , please ? certainly , sir . i'm afraid there's been a mistake . i'm sorry , sir . what seems to be the trouble ? i believe you have charged me twice for the same thing . look , the figure of 6.5 dollar appears here , then again here .
could i have my bill , please ? certainly , sir . i'm afraid there's been a mistake . i'm sorry , sir . what seems to be the trouble ? i think you experience charge me twice for the same thing . look , the figure of 6.5 dollar look here , then again here .
could i have my bill , please ? certainly , sir . i'm afraid there's been a mistake . i'm sorry , sir . what seems to be the trouble ? i think you experience charge me doubly for the like matter . expression , the human_body of 6.5 dollar look here , then again here .
could i have my bill , please ? certainly , sir . i'm afraid there's been a mistake . i'm sorry , sir . what seems to be the trouble ? i believe you have charged me doubly for the like thing . look , the figure of 6.5 dollar appears here , then again here .
could i have my bill , please ? certainly , sir . i'm afraid there's been a mistake . i'm sorry , sir . what seems to be the trouble ? i believe you have charged me twice for the same matter . expression , the human_body of 6.5 dollar appears here , then again here .","whether you need something to drink ?
When are you going to dinner ?
Great ! Would you like anything to drink ?
No way , sir , are you sure ?
What are you going to do ?"
6,"good evening , madam . can i help you ? yes . i bought this sheet here yesterday . anything wrong with it ? yes . when i spread it out back home , i found this hole . oh , how awful ! may i have a look at the invoice ? here it is . well . please accept our earnest apology , i'll exist beaming to switch it for another one if you wish .
good evening , madam . can i help you ? yes . i bought this sheet here yesterday . anything wrong with it ? yes . when i spread it out back home , i found this hole . oh , how awful ! may i have a look at the invoice ? here it is . well . please accept our sincere apologies , i'll exist glad to switch it for another one if you wish .
good evening , madam . can i help you ? yes . i bought this sheet here yesterday . anything wrong with it ? yes . when i spread it out back home , i found this hole . oh , how awful ! may i have a look at the invoice ? here it is . well . please accept our sincere apology , i'll be glad to change it for another one if you wish .
good evening , madam . can i help you ? yes . i bought this sheet here yesterday . anything wrong with it ? yes . when i spread it out back home , i found this hole . oh , how awful ! may i have a look at the invoice ? here it is . well . please accept our earnest apologies , i'll be beaming to change it for another one if you wish .
good evening , madam . can i help you ? yes . i bought this sheet here yesterday . anything wrong with it ? yes . when i spread it out back home , i found this hole . oh , how awful ! may i have a look at the invoice ? here it is . well . please accept our sincere apologies , i'll be glad to change it for another one if you wish .","Don't worry about it .
I see.Thank you .
Where are you going ?
What is it ?
Where are you going ?"
7,"we really were lucky . we got the last available table for two---and we didn't even have a reservation ! did you see the long lines behind us ? yeah , i'm glad that we didn't have to wait long . i'm starving ! let's take a look at the menu so we can order . do you want to choose an appetizer for us to share ? what would you rather have , samosas or poppadoms ? i heard that one of their specialities is the samosa . well , let's get a plate of those then . sounds good . what are you going to have for your main course ? i think i might have a dahl . what's in a dahl ? it's got chickpeas and vegetables in a spicy curry sauce with rice . that sounds nice . do you want to share some kebabs as well ? ok . how about some lamb kebabs ? that's my favourite . do you want to have some wine or beer ? i think i'll have a beer . ok , shall i flag down the waitress ? i wouldn't recommend it . i think we should wait until she comes round . you're right . that might look a bit rude . it's a good thing i've get you with me !
we really were lucky . we got the last available table for two---and we didn't even have a reservation ! did you see the long lines behind us ? yeah , i'm glad that we didn't have to wait long . i'm starving ! let's take a look at the menu so we can order . do you want to choose an appetizer for us to share ? what would you rather have , samosas or poppadoms ? i heard that one of their specialities is the samosa . well , let's get a plate of those then . sounds good . what are you going to have for your main course ? i think i might have a dahl . what's in a dahl ? it's got chickpeas and vegetables in a spicy curry sauce with rice . that sounds nice . do you want to share some kebabs as well ? ok . how about some lamb kebabs ? that's my favourite . do you want to have some wine or beer ? i think i'll have a beer . ok , shall i flag down the waitress ? i wouldn't recommend it . i think we should wait until she comes round . you're right . that might seem a bit rude . it's a good thing i've got you with me !
we really were lucky . we got the last available table for two---and we didn't even have a reservation ! did you see the long lines behind us ? yeah , i'm glad that we didn't have to wait long . i'm starving ! let's take a look at the menu so we can order . do you want to choose an appetizer for us to share ? what would you rather have , samosas or poppadoms ? i heard that one of their specialities is the samosa . well , let's get a plate of those then . sounds good . what are you going to have for your main course ? i think i might have a dahl . what's in a dahl ? it's got chickpeas and vegetables in a spicy curry sauce with rice . that sounds nice . do you want to share some kebabs as well ? ok . how about some lamb kebabs ? that's my favourite . do you want to have some wine or beer ? i think i'll have a beer . ok , shall i flag down the waitress ? i wouldn't recommend it . i think we should wait until she comes round . you're correct . that might seem a bit ill-mannered . it's a full thing i've got you with me !
we really were lucky . we got the last available table for two---and we didn't even have a reservation ! did you see the long lines behind us ? yeah , i'm glad that we didn't have to wait long . i'm starving ! let's take a look at the menu so we can order . do you want to choose an appetizer for us to share ? what would you rather have , samosas or poppadoms ? i heard that one of their specialities is the samosa . well , let's get a plate of those then . sounds good . what are you going to have for your main course ? i think i might have a dahl . what's in a dahl ? it's got chickpeas and vegetables in a spicy curry sauce with rice . that sounds nice . do you want to share some kebabs as well ? ok . how about some lamb kebabs ? that's my favourite . do you want to have some wine or beer ? i think i'll have a beer . ok , shall i flag down the waitress ? i wouldn't recommend it . i think we should wait until she comes round . you're right . that might seem a spot rude . it's a good matter i've got you with me !
we really were lucky . we got the last available table for two---and we didn't even have a reservation ! did you see the long lines behind us ? yeah , i'm glad that we didn't have to wait long . i'm starving ! let's take a look at the menu so we can order . do you want to choose an appetizer for us to share ? what would you rather have , samosas or poppadoms ? i heard that one of their specialities is the samosa . well , let's get a plate of those then . sounds good . what are you going to have for your main course ? i think i might have a dahl . what's in a dahl ? it's got chickpeas and vegetables in a spicy curry sauce with rice . that sounds nice . do you want to share some kebabs as well ? ok . how about some lamb kebabs ? that's my favourite . do you want to have some wine or beer ? i think i'll have a beer . ok , shall i flag down the waitress ? i wouldn't recommend it . i think we should wait until she comes round . you're correct . that might look a spot ill-mannered . it's a full matter i've get you with me !","Cool ! I really don't know what to do !
Cool !
Cool !
It's a really good idea !
Cool !"
8,"ms . wang , this is mr . cooper , president of ivy publishing . it's nice to meet you , mr . cooper . nice to converge you , ms . wang . you must exist exhaust after your long trip from canada .
ms . wang , this is mr . cooper , president of ivy publishing . it's nice to meet you , mr . cooper . decent to meet you , ms . wang . you must be exhausted after your retentive trip from canada .
ms . wang , this is mr . cooper , president of ivy publishing . it's nice to meet you , mr . cooper . nice to meet you , ms . wang . you must be exhausted after your long trip from canada .
ms . wang , this is mr . cooper , president of ivy publishing . it's nice to meet you , mr . cooper . nice to meet you , ms . wang . you must be exhausted after your long slip from canada .
ms . wang , this is mr . cooper , president of ivy publishing . it's nice to meet you , mr . cooper . decent to converge you , ms . wang . you must exist exhaust after your retentive slip from canada .","Yes , it was quite a long flight . I'm glad to finally be here .
Yes , I did .
Yes , it was quite a long flight . I'm glad to finally be here .
Oh , I was having a long time , you see .
Oh , I forgot ."
9,"hi , dan . what's new ? where have you been ? i've been trying to get in touch with you for two days . i went to salt lake city on business . what's up ? i got fired . how come ? last time i saw you . you told me it was a good job , and you'd like to take it as a career . that was only one month ago . why this sudden change ? it's a long story . in a word , i didn't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up . what are you going to do now ? i am trying to find a job asap . lily doesn't know yet . i didn't tell her . i spent the past three days at the coffee shop next to your office , and she thought i went to work as usual . that's not the way to solve the problem . did you look in the classified advertisements column ? yes , i did . but i wasn't qualified for most of the jobs that i was interested in . listen . i will see what i can do , ok ? you go home and tell lily about this problem you have now . she is your wife and i am sure she will understand .
hi , dan . what's new ? where have you been ? i've been trying to get in touch with you for two days . i went to salt lake city on business . what's up ? i got fired . how come ? last time i saw you . you told me it was a good job , and you'd like to take it as a career . that was only one month ago . why this sudden change ? it's a long story . in a word , i didn't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up . what are you going to do now ? i am trying to find a job asap . lily doesn't know yet . i didn't tell her . i spent the past three days at the coffee shop next to your office , and she thought i went to work as usual . that's not the way to solve the problem . did you look in the classified advertisements column ? yes , i did . but i wasn't qualified for most of the jobs that i was interested in . listen . i will understand what i can make , ok ? you travel home and state lily about this problem you experience now . she be your wife and i be sure she will sympathize .
hi , dan . what's new ? where have you been ? i've been trying to get in touch with you for two days . i went to salt lake city on business . what's up ? i got fired . how come ? last time i saw you . you told me it was a good job , and you'd like to take it as a career . that was only one month ago . why this sudden change ? it's a long story . in a word , i didn't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up . what are you going to do now ? i am trying to find a job asap . lily doesn't know yet . i didn't tell her . i spent the past three days at the coffee shop next to your office , and she thought i went to work as usual . that's not the way to solve the problem . did you look in the classified advertisements column ? yes , i did . but i wasn't qualified for most of the jobs that i was interested in . listen . i will see what i can do , ok ? you go home and tell lily about this problem you have nowadays . she is your wife and i am certain she will understand .
hi , dan . what's new ? where have you been ? i've been trying to get in touch with you for two days . i went to salt lake city on business . what's up ? i got fired . how come ? last time i saw you . you told me it was a good job , and you'd like to take it as a career . that was only one month ago . why this sudden change ? it's a long story . in a word , i didn't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up . what are you going to do now ? i am trying to find a job asap . lily doesn't know yet . i didn't tell her . i spent the past three days at the coffee shop next to your office , and she thought i went to work as usual . that's not the way to solve the problem . did you look in the classified advertisements column ? yes , i did . but i wasn't qualified for most of the jobs that i was interested in . listen . i will see what i can do , ok ? you go home and tell lily about this trouble you have now . she is your wife and i am sure she will understand .
hi , dan . what's new ? where have you been ? i've been trying to get in touch with you for two days . i went to salt lake city on business . what's up ? i got fired . how come ? last time i saw you . you told me it was a good job , and you'd like to take it as a career . that was only one month ago . why this sudden change ? it's a long story . in a word , i didn't do a good job of it . i messed up a business deal , a deal that would have made ten million dollars and i messed it up . what are you going to do now ? i am trying to find a job asap . lily doesn't know yet . i didn't tell her . i spent the past three days at the coffee shop next to your office , and she thought i went to work as usual . that's not the way to solve the problem . did you look in the classified advertisements column ? yes , i did . but i wasn't qualified for most of the jobs that i was interested in . listen . i will understand what i can make , ok ? you travel home and state lily about this trouble you experience nowadays . she be your wife and i be certain she will sympathize .","Yes , I agree with you .
yes , I heard that they are so beautiful .
Yes , I think so .
Yes , I agree , but the food is pretty high , too .
yes , I think so ."
